,weight,age,height,size,size_in_num
0,62,28.0,172.72,XL,4.0
1,59,36.0,167.64,L,3.0
2,61,34.0,165.1,M,2.0
3,65,27.0,175.26,L,3.0
4,62,45.0,172.72,M,2.0
5,50,27.0,160.02,S,1.0
6,53,65.0,160.02,M,2.0
7,51,33.0,160.02,XXS,0.0
8,54,26.0,167.64,M,2.0
9,53,32.0,165.1,S,1.0
10,63,30.0,170.18,XXXL,6.0
11,77,35.0,172.72,XXXL,6.0
12,64,26.0,165.1,L,3.0
13,52,28.0,160.02,M,2.0
14,65,33.0,165.1,L,3.0
15,63,30.0,167.64,L,3.0
16,54,21.0,167.64,XXS,0.0
17,63,27.0,172.72,M,2.0
18,63,30.0,167.64,M,2.0
19,54,20.0,167.64,S,1.0
20,55,32.0,154.94,S,1.0
21,55,37.0,160.02,M,2.0
22,55,50.0,165.1,S,1.0
23,50,43.0,160.02,M,2.0
24,74,29.0,177.8,XL,4.0
25,64,32.0,160.02,XL,4.0
26,58,29.0,167.64,XXS,0.0
27,54,47.0,165.1,M,2.0
28,58,31.0,154.94,XL,4.0
29,65,27.0,172.72,L,3.0
30,47,43.0,157.48,S,1.0
31,61,27.0,165.1,M,2.0
32,58,29.0,172.72,M,2.0
33,86,48.0,172.72,XXXL,6.0
34,68,36.0,162.56,XL,4.0
35,65,27.0,170.18,L,3.0
36,65,34.0,170.18,L,3.0
37,54,40.0,157.48,M,2.0
38,52,45.0,154.94,M,2.0
39,52,30.0,170.18,S,1.0
40,58,52.0,162.56,XXXL,6.0
41,78,37.0,175.26,XXXL,6.0
42,61,34.0,172.72,L,3.0
43,49,24.0,167.64,S,1.0
44,61,28.0,162.56,M,2.0
45,64,34.0,162.56,XXXL,6.0
46,63,25.0,167.64,S,1.0
47,56,32.0,157.48,M,2.0
48,50,27.0,170.18,S,1.0
49,77,29.0,172.72,XXXL,6.0
50,58,32.0,165.1,L,3.0
51,65,33.0,165.1,L,3.0
52,61,33.0,167.64,XL,4.0
53,56,36.0,175.26,M,2.0
54,81,27.0,165.1,XXXL,6.0
55,49,30.0,162.56,M,2.0
56,58,29.0,162.56,L,3.0
